src,tgt,hyp,ref,task,label
"On flattening either the higher or lower reed separately , by partially pushing in either one of the pulls , dissident beats instantly arose , which would be made to disappear by partially pushing in the other reed . What is the meaning of dissident ?",In a manner that disagrees ; dissenting ; discordant .,Of or pertaining to a dissident movement.,tgt,DM,1
"Formerly a publisher of juveniles , out of the market till 1959 , when it will enter adult fiction field . What is the meaning of juvenile ?",A publication for young adult readers .,"A book, film, or other work intended for children under the age of 13.",tgt,DM,1
Christy turlington is a statuesque supermodel famous for her fashion ads . What is the meaning of statuesque ?,"Elegantly tall , graceful , and attractive .","Having a magnificent appearance, imposing stature, or stature.",tgt,DM,1
"The people are worn down with taxes , and hardly anything short of an invasion could rouse them again to war . What is the meaning of short ?",Deficient ; less ; not coming up to a measure or standard .,Not at all ; not at all ; not at all.,tgt,DM,1
"Nadal is supposedly the alpha male in any slugfest . but rosol 's forehand shots were being sent towards the majorcan at 93mph plus , and his was the fastest serve at 134mph . What is the meaning of slugfest ?",A game or match in which heavy blows are exchanged .,A series of slug races.,tgt,DM,1
"The first event in the indian wars of new england , as related to its settlement by our forefathers , occurred on the 8th of december , 1620 , while a company of the pilgrims were coasting along the shores towards plymouth bay , in their shallop . What is the meaning of shallop ?",A kind of light boat ; a dinghy .,"A small boat used for sailing, especially one with a long, narrow, slender hull.",tgt,DM,1
He splattered paint onto the wall . What is the meaning of splatter ?,To cause ( something ) to splatter .,To spread ( something ) in a splatter.,tgt,DM,1
"Still , however , he gained something , and it was the glory of his heart to carry it to mr macmorlan weekly , a slight peculium only subtracted , to supply his snuff-box and tobacco-pouch . What is the meaning of peculium ?",A special fund for private and personal uses .,A slight amount of money ; a peculiar amount.,tgt,DM,1
"Truly may it be said , that her valuable qualities have been sanctified ; whilst her play of character has not been lost , but has been rendered more interesting than before . every one who knows her is aware of her truthiness , and appreciates her kindness ; What is the meaning of truthiness ?",Truthfulness .,The quality of being truthful ; truthfulness.,tgt,DM,0
"It was quite a shock to find when one stroked her that the china cat , though alive , was still china , hard , cold , and smooth to the touch , and yet perfectly brisk and absolutely bendable as any flesh and blood cat . What is the meaning of bendable ?",Able to be bent or flexed or twisted without breaking .,Able to be bent.,tgt,DM,0
John seems to spend as much time travelling as he does in the office . What is the meaning of travel ?,"To be on a journey , often for pleasure or business and with luggage ; to go from one place to another .",To travel ; to travel.,tgt,DM,1
"Gold traded at $ 909.00 an ounce , up 0.2 percent from new york 's notional close of $ 906.65 on wednesday . What is the meaning of notional ?",Having descriptive value as opposed to a syntactic category .,Of or pertaining to notional figures.,tgt,DM,1
"[ skins ] must be submitted to several washings , treadings , and stretchings , before they acquire the necessary pliancy . What is the meaning of treading ?",The act of one who treads .,The act of treading.,tgt,DM,0
Improved graphics at the expense of battery life was a tradeoff the designers were willing to make . What is the meaning of tradeoff ?,An advantage or improvement that necessitates the corresponding loss or degradation of something else .,A disadvantage or disadvantage that is a consequence of a choice.,tgt,DM,0
The locative case of a noun . What is the meaning of locative ?,"Indicating place , or the place where , or wherein .",Of or pertaining to a locative case.,tgt,DM,1
Historian madeleine pelner cosman addresses the multiple cookings of single dishes in medieval recipes . why would a veal stew require four changes of pot and five separate cookings ? What is the meaning of cooking ?,An instance of preparing food by using heat .,The act of cooking.,tgt,DM,1
"It had been his intention to go to wimbledon , but as he himself said : `` why be blooming well frizzled when you can hear all the results over the wireless . and results are all that concern me . [ ... ] '' What is the meaning of blooming ?",Bloody ; bleeding ; extremely .,Very ; very.,tgt,DM,1
Any uncommitted changes will be lost if you disconnect from the source control system . What is the meaning of uncommitted ?,Not yet written to disk and logged .,Not committed.,tgt,DM,1
"Ms : there was a lot of snowdropping in those days ? / sl : oh , i 've never actually stooped to snowdropping ; i used to go into shops . boosting , man , boosting . but you learn how to survive . What is the meaning of snowdrop ?",To steal clothing ( especially women 's underwear ) from a clothesline .,To work as a snowdropper.,tgt,DM,1
We 're using an optimizing compiler . What is the meaning of optimizing ?,Carrying out optimization .,Designed to optimize.,tgt,DM,1
Where the thump have you been ? ! What is the meaning of thump ?,The sound of such a blow ; a thud .,"A loud, squealing sound.",tgt,DM,1
"The jester wore his usual fantastic habit , but late accidents had led him to adopt a good cutting falchion , instead of his wooden sword , with a targe to match it ; [ ... ] What is the meaning of falchion ?","A somewhat curved , single-edged medieval sword of European origin , with the cutting edge on its convex side , whose design is reminiscent of the Persian scimitar and the Chinese dao .","A sword with a curved blade, used for cutting, or as a weapon.",tgt,DM,1
"Today we need a defense against ibm attack . when as chief of r & d i urged army ordnance to develop an antimissile missile , i heard repeatedly that you ca n't hit a bullet with a bullet , so it is impossible to develop such a missile . What is the meaning of IBM ?",Intercontinental ballistic missile .,IBM.,tgt,DM,1
To decant wine . What is the meaning of decant ?,To pour from one vessel into another .,To pour into a decanter.,tgt,DM,1
"Food manufacturers would argue that food additives and chemical-laden packaging extend shelf life , keep food production costs down , and enhance flavors ; chemical manufacturers would argue that their various pesticides and herbicides protect crops and help farmers . What is the meaning of argue ?",To present ( a viewpoint or an argument therefor ) .,To make a strong argument ; to argue.,tgt,DM,1
Rethinkings of the capitalist system . What is the meaning of rethinking ?,The act of thinking again or differently .,The act of thinking again.,tgt,DM,0
Polite dinner calls for persiflage rather than in-depth possibly offensive discussion . What is the meaning of persiflage ?,"Frivolous , lighthearted discussion of a topic .",The act of persifling.,tgt,DM,1
"Before the report 's arrival on friday , the consequences of global warming had been epically imagined — new orleans-style swampings by superstorms , the specter of an arctic meltdown and a water gush that would block heat-toting currents in the atlantic ocean and trigger an abrupt european cool-down . What is the meaning of superstorm ?",A major storm ( weather phenomenon ) .,"A storm that carries heavy rain, snow, snow, or other heavy rain.",tgt,DM,1
"The hovel stood in the centre of what had once been a vegetable garden , but was now a patch of rank weeds . surrounding this , almost like a zareba , was an irregular ring of gorse and brambles , an unclaimed vestige of the original common . What is the meaning of unclaimed ?",Not claimed .,Not claimed.,tgt,DM,1
"Bob chambered his fist for a blow , but sheila struck first . What is the meaning of chamber ?","In martial arts , to prepare an offensive , defensive , or counteroffensive action by drawing a limb or weapon to a position where it may be charged with kinetic energy .",To move ( a fist ) into a chamber.,tgt,DM,1
A ceremony for the conferment of academic degrees . What is the meaning of conferment ?,The act of conferring ; a presentation or bestowal .,The act of conferring.,tgt,DM,1
The city celebrated its sesquicentennial last year . What is the meaning of sesquicentennial ?,A 150th anniversary .,The anniversary of a person's birth or death.,tgt,DM,1
Singleton preterm birth . What is the meaning of singleton ?,"A child or animal that is born singly , not as a twin or other multiple birth .",Of or pertaining to a singleton.,tgt,DM,1
More dear than younglings to their dam . What is the meaning of youngling ?,"A young person , animal or plant ; chit .",A young animal.,tgt,DM,1
"'made one quite thankful to get back to the fug , though as a rule i think the way these trains are overheated is something scandalous . ' What is the meaning of scandalous ?",Outrageous ; exceeding reasonable limits .,( of a thing ) causing a great deal of public outrage or controversy,tgt,DM,1
She will perform in the play . What is the meaning of perform ?,"To do ( something ) in front of an audience , such as acting or music , often in order to entertain .",To perform ; to perform.,tgt,DM,1
"` behold now , let the dead and living meet ! across the gulf of time they still are one . ' What is the meaning of gulf ?",A wide interval or gap ; a separating space .,a large expanse of space or time,tgt,DM,1
"All life had turned to rottenness and stench in them -- love was a beastliness , joy was a snare , and god was an imprecation . What is the meaning of imprecation ?",A curse .,"A punishment, especially a severe one.",tgt,DM,1
"It was a castellated mansion as regular as a chessboard on its ground-plan , ornamented with makebelieve bastions and machicolations , behind which were stacks of battlemented chimneys . What is the meaning of ground-plan ?",Floorplan .,The layout of a building on the ground floor.,tgt,DM,0
"Employees whose pay is set by 'award only ' are those who have their pay set by an award , and who are not paid more than the award rate of pay . What is the meaning of award ?",A negotiated minimum wage that is set for a particular trade or industry ; an industrial award .,A monetary award.,tgt,DM,1
An amiable temper . What is the meaning of amiable ?,Friendly ; kind ; sweet ; gracious,"Friendly, friendly.",tgt,DM,1
A sellable commodity . What is the meaning of sellable ?,Able or likely to be sold .,Capable of being sold.,tgt,DM,0
Gestational diabetes . What is the meaning of gestational ?,Of or pertaining to gestation .,Of or pertaining to the birth of a child.,tgt,DM,0
"The robotic vacuum cleaner proved to be hackable , so we reprogrammed two of them to race each other . What is the meaning of hackable ?",That lends itself to hacking ( technical tinkering and modification ) ; moddable .,Capable of being hacked.,tgt,DM,1
"But out of sight is out of mind . and thatmeans that many old sewers have been neglected and are in dire need of repair . if that repair does not come in time , the result is noxious and potentially hazardous . What is the meaning of noxious ?",Harmful ; injurious .,Offensive to health ; harmful.,tgt,DM,0
I availed myself of the opportunity . What is the meaning of avail ?,To turn to the advantage of .,To take advantage of ; to take advantage of.,tgt,DM,1
But what do i do when the third one runs at me with his bike helmet on ? i got no more hands to protect my area ! What is the meaning of area ?,Genitals .,"The part of the body that is covered by something, such as a helmet, gloves, etc. ; the part of the body that is covered by something, such as a helmet, gloves, etc. ; the part of the body that is covered by something, such as a helmet, gloves, etc.",tgt,DM,1
"In this view , disagreement and treason are tantamount . What is the meaning of tantamount ?","Equivalent in meaning or effect ; amounting to the same thing in practical terms , even if being technically distinct .","Having the same meaning, meaning, or effect ; equivalent.",tgt,DM,1
I realised i had been an a-grade fool . What is the meaning of A-grade ?,outstanding ; of the first rank,Having a high grade.,tgt,DM,0
The max function iterates through the data to find the highest value . What is the meaning of iterate ?,to perform or repeat an action on each item in a set,To perform an iteration.,tgt,DM,0
We built a homestead at the convergence of two rivers . What is the meaning of convergence ?,A meeting place .,The point at which two or more rivers meet.,tgt,DM,0
The inexorability of global warming gave people a reason to reduce automobile use . What is the meaning of inexorability ?,The quality or state of being inexorable .,The quality of being inexorable.,tgt,DM,0
"However , truth and lies can usually be confirmed or denied by speaking with eyewitnesses of events in order to verify what took place . the amount of time separating the event in question from when it was broadcasted also makes a difference . What is the meaning of broadcast ?","To transmit a message over a wide area ; specifically , to send an email in a single transmission to a ( typically large ) number of people .",To transmit ( something ) over a wide area.,tgt,DM,0
A stepped gear . What is the meaning of stepped ?,Provided with a step or steps ; having a series of offsets or parts resembling the steps of stairs .,Having a step.,tgt,DM,0
To interline latin and english . What is the meaning of interline ?,To arrange in alternate lines .,To transcribe a language between two languages.,tgt,DM,1
A monovision effect . What is the meaning of monovision ?,A treatment for presbyopia in which one eye is treated to improve distance vision and the other eye is treated to improve close-up vision,A visual effect involving the use of only one visual stimulus.,tgt,DM,1
"At last she spoke in a low voice , hesitating slightly , nevertheless going with incisive directness into the very heart of the problem . What is the meaning of heart ?","The centre , essence , or core .",The most important part of something.,tgt,DM,0
He says he was a ratbag at school and the entire teaching staff hated him except the english and economics teachers . What is the meaning of ratbag ?,"A mischievous person , especially a child .","A person who is unreliable, incompetent, or incompetent.",tgt,DM,1
"Generation x grew up in the eighties , whereas the generation known as the millennials grew up in the nineties . What is the meaning of generation ?",A group of people born in a specific range of years and whose members can relate culturally to one another .,A group of people who are born together.,tgt,DM,1
Do you follow me ? What is the meaning of follow ?,"To understand , to pay attention to .",To be in a relationship with ; to be in a relationship with ; to be in a relationship with.,tgt,DM,1
"If you have deer in the area , you may have to put a fence around your garden to keep the rascals out . What is the meaning of rascal ?",Sometimes : a cheeky person or creature ; a troublemaker .,A rascal.,tgt,DM,1
It was a very strict lesson . What is the meaning of strict ?,Severe in discipline .,"Of a lesson, or a course of instruction, requiring careful attention to detail.",tgt,DM,1
Trees appareled with flowers . What is the meaning of apparel ?,To dress with external ornaments ; to cover with something ornamental,To cover or cover with a garment.,tgt,DM,1
A backward season . What is the meaning of backward ?,Late or behindhand .,"Of a period of time, especially of the past, that is not present.",tgt,DM,1
For many days the animals had nothing to eat but mangels . What is the meaning of mangel ?,"A mangelwurzel , a plant of the beet family raised as cattle feed .",A mangel-like plant.,tgt,DM,1
"After she found the rook , the chess set was complete . What is the meaning of complete ?",With all parts included ; with nothing missing ; full .,Complete ; complete.,tgt,DM,1
Let 's go hork pickles at people from the back row of the movie theatre . What is the meaning of hork ?,To throw .,"To slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap, slap",tgt,DM,1
"Not long ago , it was difficult to produce photographs of tiny creatures with every part in focus.a photo processing technique called focus stacking has changed that . developed as a tool to electronically combine the sharpest bits of multiple digital images , focus stacking is a boon to biologists seeking full focus on a micron scale . What is the meaning of change ?",To make something into something else .,To change ; to change.,tgt,DM,1
Who 's playing now ? What is the meaning of play ?,To perform in ( a sport ) ; to participate in ( a game ) .,To participate in a game.,tgt,DM,0
Outside a new day is dawning / outside suburbia is sprawling everywhere . What is the meaning of suburbia ?,The suburbs and all that pertains to or characterizes them ; the suburbs as represented or encapsulated by their typical qualities or characteristics .,"The suburbs of a city, especially in the United States.",tgt,DM,1
The tennis player 's serve was phenomenally fast . What is the meaning of phenomenally ?,In a manner that is extraordinary or amazing .,In a phenomenal manner.,tgt,DM,1
He slapped the reins against the horse 's back . What is the meaning of slap ?,To cause something to strike soundly .,To strike or strike with a slap or slaps.,tgt,DM,1
"Look , i do n't francais , so speak to me in english . What is the meaning of francais ?",French .,The language of France.,tgt,DM,0
The tensional force was so great the cable snapped . What is the meaning of tensional ?,Relating to tension .,Of or pertaining to tension.,tgt,DM,0
"With the lights out , she had to rely on touch to find her desk . What is the meaning of touch ?",The faculty or sense of perception by physical contact .,The ability to make a sense of something by means of the sense of touch.,tgt,DM,1
"Here is the ball , in my wheelhouse . i slide my hips out of the way , put myself in place to hit the coldie of a lifetime . What is the meaning of wheelhouse ?",A pitch location which is favourable to the hitter .,"The position of the head, shoulders, or back of a person or animal.",tgt,DM,1
His fervour tempered her resistance appreciably . What is the meaning of appreciably ?,In an appreciable manner ; to a large extent ; considerably .,In an appreciable manner ; in an appreciable manner.,tgt,DM,1
"Then we relapsed into a discomfited silence , and wished we were anywhere else . but miss thorn relieved the situation by laughing aloud , and with such a hearty enjoyment that instead of getting angry and more mortified we began to laugh ourselves , and instantly felt better . What is the meaning of relapse ?",To fall back again ; to slide or turn back into a former state or practice .,To fall back again.,tgt,DM,0
"Simon hart of the daily telegraph has tweeted that the prodigal triple-jumper has come home , in preparation for tomorrow 's qualification round . What is the meaning of prodigal ?","( by allusion to the Biblical parable of the prodigal son ) returning after abandoning a person , group , or ideal , especially for selfish reasons ; behaving as a prodigal son .",Of a person : having a prodigal nature ; having a tendency to prodigalize.,tgt,DM,1
"My favorite childhood bread was not roti , though ; it was luchi—deep fried and puffy , warm and fresh , and simply amazing when rolled up with sugar . What is the meaning of luchi ?","Puffed bread , fried in oil , made from flour . A Bengali specialty .","A type of fried bread, made from wheat flour, fried in oil, and then rolled up and rolled up.",tgt,DM,1
Quit your bellyaching and get back to work ! What is the meaning of bellyaching ?,"Whining and complaining , often contrived to evoke pity or shirk responsibility .","Excessive complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining, complaining ",tgt,DM,1
I made an outright purchase of the house . What is the meaning of outright ?,Having no outstanding conditions .,Without any deductions or deductions ; without any extra charge or deductions.,tgt,DM,1
"[ t ] he sculptor lifted it [ a round block of stone ] , turned it hither and thither in his hands , brushed off the clinging soil , and finally placed it on the slender neck of the newly discovered statue . the effect was magical . it immediately lighted up and vivified the whole figure , endowing it with personality , soul , and intelligence . What is the meaning of endow ?","Followed by , or rarely by : to enrich or furnish with some faculty or quality .","A person or thing, especially a person who has a particular quality or quality, that is regarded as a source of inspiration, inspiration, or inspiration.",tgt,DM,1
She catapulted to the national scene following her selection by the candidate . What is the meaning of catapult ?,To have one 's status increased rapidly .,"To rise rapidly, to rise rapidly, to a great height.",tgt,DM,1
The audience roared at his jokes . What is the meaning of roar ?,To laugh in a particularly loud manner .,"To utter a loud, high-pitched sound.",tgt,DM,1
I 've been clean this time for eight months . What is the meaning of clean ?,Not having used drugs or alcohol .,Having no alcoholic drink.,tgt,DM,1
"Mexico has loved a strong leader since before moctezuma . indigenous tribes were ruled by caciques , or chieftans , and in some rural communities caciques are still unchallenged . What is the meaning of cacique ?",A tribal chief in the Spanish West Indies .,"A chieftain, a member of a tribe.",tgt,DM,1
"That year , secession was enacted on account of unreasonable policies . What is the meaning of secession ?",The act of seceding .,The act of secession.,tgt,DM,1
Honorary degree ; honorary doctorate . What is the meaning of honorary ?,"Given as an honor/honour , with no duties attached , and without payment .",Of or pertaining to an honorary degree.,tgt,DM,1
"We have our little differences , but we are firm friends . What is the meaning of difference ?",A disagreement or argument .,A difference ; a difference in opinion or opinion.,tgt,DM,1
The enclosure of public land is against the law . What is the meaning of enclosure ?,"The act of separating and surrounding an area , domain , or amount of something with a barrier .",The act of enclosing.,tgt,DM,1
Cross interrogatories . What is the meaning of cross ?,"Made in an opposite direction , or an inverse relation ; mutually inverse ; interchanged .",In a cross manner.,tgt,DM,1
There is a £2 supplement if you choose the steak . What is the meaning of supplement ?,"A surcharge , additional cost , especially for food in a restaurant .","A charge or fee added to the price of a meal, drink, etc. ; a gratuity.",tgt,DM,0
A land monopoly renders its holder ( s ) nearly almighty in an agricultural society . What is the meaning of monopoly ?,An exclusive control over the trade or production of a commodity or service through exclusive possession .,"A state or system of ownership of a commodity, especially land, by a single owner.",tgt,DM,1
"Scott podsednik hit the twelfth walk-off home run in world series history on october 23rd , 2005 . What is the meaning of walk-off ?",That drives in a run that ends a game .,A home run that is scored by a walk-off hitter.,tgt,DM,1
The churching of women traditionally includes thanksgiving for the women 's survival of childbirth . What is the meaning of churching ?,The ceremonial blessing of a woman who has given birth .,The act of christianizing.,tgt,DM,1
It took weeks to get the two email systems to interoperate . What is the meaning of interoperate ?,To work reliably with another system .,To work together ; to work together ; to work together.,tgt,DM,1
"Top each tostado with the tomato mixture , sour cream , and cilantro sprigs . What is the meaning of tostado ?",A fried corn tortilla ; tostada .,"A tortilla, usually made from shredded cheese, sour cream, and cilantro.",tgt,DM,1
"Even three years ago , the thought of spending two hours , let alone a whole day , without my mobile would have been anathema . What is the meaning of anathema ?",Something which is vehemently disliked by somebody .,"An unpleasant or unpleasant thing ; a source of annoyance, annoyance, or annoyance.",tgt,DM,0
Jones threw a heater under his chin . What is the meaning of heater ?,"A fastball , especially one thrown at high velocity .",A ball that is thrown with a high velocity.,tgt,DM,1
I spelled several names wrong in my address book . What is the meaning of wrong ?,"In a way that is n't right ; incorrectly , wrongly .",In a way that is not correct ; incorrectly.,tgt,DM,0
I have immortal longings in me . What is the meaning of immortal ?,Connected with or relating to immortality .,Indefinitely long-lasting.,tgt,DM,1
"But the agricultural extension services in several southern states have listed dichondra — a member of the bindweed family — under `` weeds , '' where it appears by the name ponyfoot . What is the meaning of dichondra ?",Any of the genus of prostrate perennial herbaceous plants with creeping stems .,Any of several plant varieties of the bindweed family.,tgt,DM,1
"Oh , tannenbaum , oh , tannenbaum , how lovely are thy branches . What is the meaning of Tannenbaum ?",Christmas tree .,"A tree of the genus Tannenbaum, native to Central and South America.",tgt,DM,1
"The kook we will always have with us , to paraphrase jesus , but the kooks of yore had to work to maintain their kookery and locate fellow kooks . they had to pick up their kook phone , subscribe to the kook newsletter , drive to the kook convention . nowadays , all the kook has to do is log in to facebook , where his feed will be enlivened by the chatter of fellow — and likely more extreme — kooks , toward which facebook 's algorithms helpfully steer him . What is the meaning of kook ?","An eccentric , strange or crazy person .",To be a kook ; to be a member of a kook club.,tgt,DM,1
The character of james bond is known worldwide . What is the meaning of worldwide ?,Throughout the world .,In all parts of the world.,tgt,DM,0
He was a dynamic and engaging speaker . What is the meaning of dynamic ?,Powerful ; energetic .,"Having a lively, lively, or exciting style.",tgt,DM,1
"Does that produce a different dynamic when they meet in battle ? 'it does , ' said hoy . ' i tell myself that it does n't matter who you race against , you try to expose their weaknesses . the only difference is that they know your weaknesses . it just makes it a bit more of a mind game , a cat-and-mouse strategy . What is the meaning of cat-and-mouse ?","suspenseful , involving alternating roles of attack and defence .","A game in which two players try to gain control of one another's weaknesses, using a cat-and-mouse strategy.",tgt,DM,1
Computer users these days expect immediate results when they click on a link . What is the meaning of immediate ?,"Happening right away , instantly , with no delay .","Quick, immediate.",tgt,DM,0
The law guarantees us the free exercise of our rights . What is the meaning of exercise ?,A setting in action or practicing ; employment in the proper mode of activity ; exertion ; application ; use .,The act of exercising.,tgt,DM,1
The dentist advised regular flossings . What is the meaning of flossing ?,The act of removing food and plaque from one 's teeth using dental floss .,The act of removing a piece of dental floss.,tgt,DM,1
A pint of beer in the saloon bar costs a penny more than in the public bar . What is the meaning of saloon ?,"A lounge bar in an English public house , contrasted with the public bar .","A public room in a hotel, typically with a bar.",tgt,DM,1
Thou hast no speculation in those eyes . What is the meaning of speculation ?,Power of sight .,The act of speculating ; the act of speculating ; the state of being speculated.,tgt,DM,1
"`` and the cramps when my body - like a badly articulated skeleton - would all get twisted into one rigid tangle ! but now , except some dyspepsia and urticaria of the palms , i am free from pain . '' What is the meaning of urticaria ?","Itchy , swollen , red areas of the skin which can appear quickly in response to an allergen or other conditions .",a painful inflammation of the skin caused by a bacterial infection.,tgt,DM,1
"The materfamilias and her daughters do a good deal of the housework , and even open the front door on occasion . What is the meaning of materfamilias ?",The female head of a household,A woman's mother.,tgt,DM,1
Looks like it 's gon na take a taller person to get that down . What is the meaning of take ?,To require .,To require ; to require.,tgt,DM,1
I reached at the right time . What is the meaning of reach ?,To arrive at a particular destination .,To reach a destination.,tgt,DM,0
"The television was badged as 'ge ' , but was n't made by them . What is the meaning of badge ?",To mark or distinguish with a badge .,To mark with a badge.,tgt,DM,0
"Mack trucks would replace quarter horses , smokeys would replace federal marshals , and truckstops would replace saloons as the loci of spontaneous brawls . What is the meaning of Smokey ?",Highway patrolman .,A smuggler.,tgt,DM,1
Parallel lines never join . What is the meaning of join ?,To come together ; to meet .,To come together ; to join.,tgt,DM,1
Vnder my feet i stampe thy cardinalls hat . What is the meaning of stamp ?,"To strike , beat , or press forcibly with the bottom of the foot , or by thrusting the foot downward .",To put a stamp on.,tgt,DM,1
I 've heard the props and costumes in this play are quite freaky . What is the meaning of freaky ?,Odd ; bizarre ; unusual .,"Of, pertaining to, or resembling a fuck ; frightful.",tgt,DM,1
"Many [ computer attacks of chinese origin ] are believed to be linked to cyberwarfare units of the people 's liberation army acting on behalf of state-owned , or state-affiliated , chinese companies . What is the meaning of cyberwarfare ?","Warfare taking place on the Internet , as by disrupting critical online services .",The use of cyberspace to combat a hostile organization.,tgt,DM,1
Edgar belted himself in and turned the car 's ignition . What is the meaning of belt ?,To fasten a belt on .,To put on a belt.,tgt,DM,0
Circulatory diseases . What is the meaning of circulatory ?,"Of or pertaining to a circulation , especially to the circulatory system .",Of or pertaining to circulation.,tgt,DM,0
Yet he emerged as the driving force for the administration 's unilateralist policies . What is the meaning of unilateralist ?,Supporting or advocating unilateralism,Of or pertaining to unilateralism.,tgt,DM,1
He smashed his head against the table . What is the meaning of smash ?,To hit extremely hard .,To hit violently.,tgt,DM,0
I must make this deadline or my boss will kill me ! What is the meaning of deadline ?,A time limit in the form of a date on or before which something must be completed .,A deadline.,tgt,DM,1
Only highly intelligent beings can be fully conscious . What is the meaning of conscious ?,Aware of one 's own existence ; aware of one 's own awareness .,Having consciousness.,tgt,DM,1
What the bleep are you doing ? What is the meaning of bleep ?,"Something named by an explicit noun in the original , unedited version of the containing sentence .",A bleep.,tgt,DM,1
When are you coming back to the shire ? What is the meaning of shire ?,"The general area in which a person lives or comes from , used in the context of travel within the United Kingdom .","A county, district, or district-level area.",tgt,DM,1
"I was n't typically a huggy person , but i knew better than to argue with anyone in bones 's genetic line . What is the meaning of huggy ?",Tending to hug ; affectionate in a physical way .,Having the qualities of a hug.,tgt,DM,1
The neighbour 's kids are a pack of little horrors ! What is the meaning of horror ?,A nasty or ill-behaved person ; a rascal or terror .,A person or thing that causes horror.,tgt,DM,1
"I sat there seething with fury . and after i had seethed for a bit i rose from my chair , took pen in hand and wrote bobbie a stinker . [ ... ] i accused her in set terms of giving me the heave-ho in order that she could mercenarily marry a richer man . i called her a carrot-topped jezebel whom i was thankful to have got out of my hair . i ... oh , i ca n't remember what else i said but , as i say , it was a stinker . What is the meaning of stinker ?","Something difficult ( e.g . a given puzzle ) or unpleasant ( e.g . negative review , nasty letter ) .","A woman, especially a woman who is a member of a gang ; a prostitute ; a prostitute.",tgt,DM,1
He was an economical person by nature . What is the meaning of economical ?,Careful with money so as not to spend too much ; prudent ; thrifty .,Having a tendency to spend money wisely.,tgt,DM,1
"There are , according to penansky , 4,000 ways a mezuzah can be `` unkosher '' ( illegitimate ) : the parchment may tear or curl , a letter may have weakened . What is the meaning of unkosher ?",Not kosher,Not kosher ; not conforming to the laws of a particular religion.,tgt,DM,0
"Tired of this popinjay 's stupid vanity and stilted affectation , and having a cheerless and dreary prospect before him , he reflected that every thing is worth something . What is the meaning of stilted ?","Elevated or raised in a contrived or unnatural way ; stiff and artificially formal or pompous ; also , depending on redundant , unnecessary elements .",Having a stilt or stilts ; stilted.,tgt,DM,1
She achieved a high level of distinction . What is the meaning of level ?,Achievement or qualification .,"A degree, degree, or degree.",tgt,DM,1
"Refreshments followed , coupled with teary farewells and exchanges of phone numbers and emails , and facebook friendings . What is the meaning of friending ?",An act of adding a person as a friend on a social network .,"The act of a person who is a member of a social networking website, such as Facebook, Twitter, or Instagram.",tgt,DM,1
"He jammed his second-best sword into the empty scabbard ; he ordered out his wildest , tallest , most prancing and dancing parade horse . What is the meaning of prancing ?",that prances,Having the ability to pratfall ; prancing.,tgt,DM,1
`` and what of all the men you shot in malaya and the indies ? '' he asked . `` what did you think when their blood incarnadined the oceans of asia ? tell me ! '' What is the meaning of incarnadine ?,"To make red , especially blood-coloured or crimson ; to redden .","To make red, especially by the action of a poisonous or poisonous substance.",tgt,DM,0
This portable camera is just the thing for on-the-spot newsgathering . What is the meaning of newsgathering ?,The act of collecting information related to current events,The act of gathering news.,tgt,DM,1
Wallace [ ... ] came closer to the dense algal stink of the lake . What is the meaning of algal ?,"Pertaining to , or like , algae .",Of or pertaining to algae.,tgt,DM,0
"He 's got no filter , and he 's always offending people as a result . What is the meaning of filter ?",self-restraint in speech .,A filter ; a filtering mechanism.,tgt,DM,1
To buoy an anchor ; to buoy or buoy off a channel . What is the meaning of buoy ?,To mark with a buoy .,To give buoyancy to ; to float.,tgt,DM,1
The thread made of silk was barely visible . What is the meaning of silk ?,A fine fiber excreted by the silkworm or other arthropod ( such as a spider ) .,A woven fabric made of silk.,tgt,DM,0
He had his rights abridged by the crooked sheriff . What is the meaning of abridge ?,To curtail .,"To restrict, restrict, or restrict.",tgt,DM,1
"Despite many feastings , the wolves were hungry again . What is the meaning of feasting ?","A feast , or an occasion on which people or animals feast",The act of eating a feast.,tgt,DM,1
There is also great use of ambitious men in being screens to princes in matters of danger and envy . What is the meaning of screen ?,"A physical divider intended to block an area from view , or provide shelter from something dangerous .","A person who acts as a barrier or barrier, especially to protect someone or something.",tgt,DM,1
One student kept trying to cut in front of the line . What is the meaning of cut ?,To enter a queue in the wrong place .,"To move in a certain direction, especially in order to avoid being caught.",tgt,DM,1
Take him at his word . What is the meaning of take ?,"To believe , to accept the statements of .","To regard, regard, regard, regard.",tgt,DM,1
I 've got to hit the streets ; i 've got to move this white . What is the meaning of white ?,Cocaine,"A person's skin, especially the skin of a young child.",tgt,DM,1
To change a horse . What is the meaning of change ?,To change hand while riding ( a horse ) .,To remove the saddle of.,tgt,DM,1
"Dogs can hear this whistle , but for people it is inaudible . What is the meaning of inaudible ?",Unable to be heard or not loud enough to be heard .,Not audible ; not able to be heard.,tgt,DM,0
"The best timber was longleaf , and it grew in the piney woods . What is the meaning of longleaf ?","A longleaf pine , Pinus palustris , or the wood of this tree",The wood of a tree that is long-leaved.,tgt,DM,1
